group,function,value,sample_time_nanos,iteration_count
oddsketch insert 1 million,,,850487.0,1
oddsketch insert 1 million,,,1605710.0,2
oddsketch insert 1 million,,,2561748.0,3
oddsketch insert 1 million,,,3287401.0,4
oddsketch insert 1 million,,,4115561.0,5
oddsketch insert 1 million,,,4931312.0,6
oddsketch insert 1 million,,,5640049.0,7
oddsketch insert 1 million,,,6473215.0,8
oddsketch insert 1 million,,,7276161.0,9
oddsketch insert 1 million,,,8075195.0,10
oddsketch insert 1 million,,,8918587.0,11
oddsketch insert 1 million,,,9692678.0,12
oddsketch insert 1 million,,,10630284.0,13
oddsketch insert 1 million,,,11349758.0,14
oddsketch insert 1 million,,,12160412.0,15
oddsketch insert 1 million,,,12950416.0,16
oddsketch insert 1 million,,,13774778.0,17
oddsketch insert 1 million,,,14614147.0,18
oddsketch insert 1 million,,,15369880.0,19
oddsketch insert 1 million,,,16183320.0,20
oddsketch insert 1 million,,,17010366.0,21
oddsketch insert 1 million,,,17785314.0,22
oddsketch insert 1 million,,,18698978.0,23
oddsketch insert 1 million,,,19503077.0,24
oddsketch insert 1 million,,,20229657.0,25
oddsketch insert 1 million,,,20935733.0,26
oddsketch insert 1 million,,,21791821.0,27
oddsketch insert 1 million,,,22582662.0,28
oddsketch insert 1 million,,,23479718.0,29
oddsketch insert 1 million,,,24241190.0,30
oddsketch insert 1 million,,,30740130.0,31
oddsketch insert 1 million,,,32391983.0,32
oddsketch insert 1 million,,,33314243.0,33
oddsketch insert 1 million,,,33932940.0,34
oddsketch insert 1 million,,,34744678.0,35
oddsketch insert 1 million,,,36350166.0,36
oddsketch insert 1 million,,,37177388.0,37
oddsketch insert 1 million,,,37896261.0,38
oddsketch insert 1 million,,,39059340.0,39
oddsketch insert 1 million,,,40423120.0,40
oddsketch insert 1 million,,,41258540.0,41
oddsketch insert 1 million,,,41770034.0,42
oddsketch insert 1 million,,,42592634.0,43
oddsketch insert 1 million,,,44459438.0,44
oddsketch insert 1 million,,,45158178.0,45
oddsketch insert 1 million,,,46183560.0,46
oddsketch insert 1 million,,,46848711.0,47
oddsketch insert 1 million,,,47596249.0,48
oddsketch insert 1 million,,,49401884.0,49
oddsketch insert 1 million,,,50177072.0,50
oddsketch insert 1 million,,,50233622.0,51
oddsketch insert 1 million,,,51783811.0,52
oddsketch insert 1 million,,,52856380.0,53
oddsketch insert 1 million,,,53793188.0,54
oddsketch insert 1 million,,,54876340.0,55
oddsketch insert 1 million,,,55476799.0,56
oddsketch insert 1 million,,,56329820.0,57
oddsketch insert 1 million,,,57671608.0,58
oddsketch insert 1 million,,,58855640.0,59
oddsketch insert 1 million,,,59960340.0,60
oddsketch insert 1 million,,,60477048.0,61
oddsketch insert 1 million,,,61465407.0,62
oddsketch insert 1 million,,,62455582.0,63
oddsketch insert 1 million,,,63378886.0,64
oddsketch insert 1 million,,,64059404.0,65
oddsketch insert 1 million,,,64823261.0,66
oddsketch insert 1 million,,,66495433.0,67
oddsketch insert 1 million,,,67678409.0,68
oddsketch insert 1 million,,,68412509.0,69
oddsketch insert 1 million,,,69409000.0,70
oddsketch insert 1 million,,,70201244.0,71
oddsketch insert 1 million,,,71176733.0,72
oddsketch insert 1 million,,,72176036.0,73
oddsketch insert 1 million,,,73955215.0,74
oddsketch insert 1 million,,,73878958.0,75
oddsketch insert 1 million,,,75208064.0,76
oddsketch insert 1 million,,,76508808.0,77
oddsketch insert 1 million,,,77513697.0,78
oddsketch insert 1 million,,,78311939.0,79
oddsketch insert 1 million,,,78966839.0,80
oddsketch insert 1 million,,,79935133.0,81
oddsketch insert 1 million,,,81609439.0,82
oddsketch insert 1 million,,,82548186.0,83
oddsketch insert 1 million,,,83694145.0,84
oddsketch insert 1 million,,,84030896.0,85
oddsketch insert 1 million,,,84883316.0,86
oddsketch insert 1 million,,,85827552.0,87
oddsketch insert 1 million,,,86678302.0,88
oddsketch insert 1 million,,,88047888.0,89
oddsketch insert 1 million,,,88737970.0,90
oddsketch insert 1 million,,,89420871.0,91
oddsketch insert 1 million,,,90601586.0,92
oddsketch insert 1 million,,,91067769.0,93
oddsketch insert 1 million,,,92538485.0,94
oddsketch insert 1 million,,,93465706.0,95
oddsketch insert 1 million,,,94593009.0,96
oddsketch insert 1 million,,,95645433.0,97
oddsketch insert 1 million,,,96329282.0,98
oddsketch insert 1 million,,,97318954.0,99
oddsketch insert 1 million,,,98782350.0,100
